what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940611551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940632333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940637457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940643316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940644060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940681385
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1397940697733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940721215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940725572
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940730189
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940730247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940730287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940730643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940742473
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1397940743762
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940747169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940754796
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940755287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940763050
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940763913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940770325
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940771386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940776486
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940778808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940783913
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940784902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940789238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397940798404
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940801913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940805660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940829357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940832579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940965357
activated,view,org.python.pydev,2.8.2.2013090511,"org.python.pydev.navigator.view",1397940968204
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940970858
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940973104
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940975000
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940975895
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940976627
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1397940977173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940978253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940981469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940982316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940983848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940986873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940986905
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1397940987992
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1397940988017
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1397940988094
activated,perspective,org.python.pydev,2.8.2.2013090511,"org.python.pydev.ui.PythonPerspective",1397940989906
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1397940991394
activated,perspective,org.python.pydev,2.8.2.2013090511,"org.python.pydev.ui.PythonPerspective",1397940992924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397940995136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397941029879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397941031341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397941332709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397941334537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397941390155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397941391117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397942116598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397942116995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964304829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964306760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964570711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964572707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964602412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964605126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397964605749
